NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 44.01; King County; Washington,1258,665,593,136389,62,30,9,266,593,2070,0,0,3720,2773,53,033,004401
Census Tract 44.02; King County; Washington,1817,164,1653,59716,167,47,228,447,1653,1799,8,0,3497,1671,53,033,004402
Census Tract 45; King County; Washington,1072,637,435,183235,48,11,0,102,435,2264,0,0,3230,2205,53,033,004500
Census Tract 46; King County; Washington,1412,897,515,163056,108,7,10,42,515,2768,0,0,3753,3113,53,033,004600
Census Tract 47.01; King County; Washington,2318,621,1697,112872,151,168,124,399,1697,2690,0,0,3596,2340,53,033,004701
Census Tract 47.02; King County; Washington,2307,899,1408,137487,47,13,116,291,1408,3013,0,0,3458,2200,53,033,004702
Census Tract 47.03; King County; Washington,2082,525,1557,160833,70,169,30,230,1557,3060,0,0,4111,2793,53,033,004703
Census Tract 48; King County; Washington,2435,1262,1173,145329,69,80,49,90,1173,4232,0,0,5108,3718,53,033,004800
Census Tract 49.01; King County; Washington,2053,794,1259,119969,180,0,169,174,1259,3080,0,0,3883,2925,53,033,004901
Census Tract 49.02; King County; Washington,1858,520,1338,124743,232,54,64,90,1338,2590,0,0,3359,2509,53,033,004902
Census Tract 50; King County; Washington,2508,594,1914,108994,207,238,162,380,1914,3575,22,0,4625,2884,53,033,005000
Census Tract 51; King County; Washington,1599,976,623,147656,52,4,20,198,623,2766,10,0,3848,2987,53,033,005100
Census Tract 52.01; King County; Washington,1758,635,1123,113298,76,92,100,406,1123,2653,0,0,3675,2035,53,033,005201
Census Tract 52.02; King County; Washington,1753,66,1687,48573,57,194,168,465,1687,1731,26,0,3056,1321,53,033,005202
Census Tract 53.03; King County; Washington,51,0,51,38625,0,10,5,21,51,139,0,0,3943,1516,53,033,005303
Census Tract 53.04; King County; Washington,157,0,157,25083,0,11,4,111,157,127,0,0,3428,1299,53,033,005304
Census Tract 53.05; King County; Washington,1190,22,1168,28864,30,49,157,634,1168,655,0,0,2137,905,53,033,005305
Census Tract 53.06; King County; Washington,1772,152,1620,42941,0,328,31,603,1620,1668,18,0,3404,1055,53,033,005306
Census Tract 53.07; King County; Washington,492,8,484,40548,18,128,0,210,484,291,0,0,3119,1663,53,033,005307
Census Tract 54.01; King County; Washington,2147,710,1437,139519,81,115,185,159,1437,2884,0,0,3306,2210,53,033,005401
Census Tract 54.02; King County; Washington,1778,464,1314,108500,137,63,110,332,1314,2466,0,0,2963,2143,53,033,005402
Census Tract 56; King County; Washington,2684,2364,320,220244,0,0,18,68,320,5180,0,0,7158,5718,53,033,005600
