NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract,pct_renters,pct_cost_burdened,pct_poc,income_inverted,pct_renters_norm,pct_cost_burdened_norm,pct_poc_norm,income_inverted_norm,displacement_risk_score
Census Tract 1.01; King County; Washington,1730,159,1571,69028,58,95,223,392,1571,2633,0,0,3370,1289,53,33,101,0.9080924855491329,0.48886059834500317,0.6175074183976261,1.4486874891348438e-05,0.906448189151236,0.5790051058412449,0.6486386393576667,0.29237737352815746,0.6066173269695763
Census Tract 1.02; King County; Washington,2264,913,1351,87437,173,51,204,291,1351,3823,83,0,4548,3424,53,33,102,0.5967314487632509,0.5321983715766099,0.24714160070360602,1.1436805928840193e-05,0.5895166630066613,0.6303342415127223,0.21835346198600428,0.20734062034909503,0.41138624671362073
Census Tract 2.01; King County; Washington,2456,1242,1214,83833,104,204,230,188,1214,3830,166,0,4918,2631,53,33,201,0.494299674267101,0.5980230642504119,0.46502643350955675,1.1928476852790668e-05,0.4852523049743278,0.7082968207788566,0.47148863119310913,0.22104853958608014,0.4715215741330934
Census Tract 2.02; King County; Washington,1519,1084,435,136597,7,8,27,136,435,3134,0,0,4406,2147,53,33,202,0.28637261356155364,0.4091954022988506,0.5127099409895597,7.320804995717329e-06,0.2736052686064402,0.48464987364473794,0.5268865796363068,0.09258539358631213,0.3444317788684492
Census Tract 3; King County; Washington,1222,1021,201,129375,0,0,43,35,201,2073,65,0,2819,1896,53,33,300,0.16448445171849427,0.3880597014925373,0.32742107130188014,7.729468599033817e-06,0.1495364334347385,0.4596168095691754,0.3116208873136286,0.10397904612192967,0.25618829410986804
Census Tract 4.02; King County; Washington,2664,1352,1312,99167,178,20,76,251,1312,4326,0,0,5420,3928,53,33,402,0.4924924924924925,0.40015243902439024,0.2752767527675277,1.0083999717648008e-05,0.48341279132239584,0.4739394135962636,0.25104043880146404,0.16962401482498585,0.34450416463627737
Census Tract 4.03; King County; Washington,1765,698,1067,70922,82,34,83,349,1067,2954,0,0,3526,2391,53,33,403,0.6045325779036828,0.5135895032802249,0.32189449801474757,1.4099997180000563e-05,0.5974573603708861,0.6082939506935997,0.30520020145790544,0.28159111759271294,0.44813565752877604
Census Tract 4.04; King County; Washington,2161,351,1810,46185,91,234,360,640,1810,2707,53,0,3644,1171,53,33,404,0.8375751966682091,0.7320441988950276,0.6786498353457739,2.1652051531882645e-05,0.834669291523855,0.8670310724501391,0.7196729369752751,0.49214444927467643,0.7283794375559864
Census Tract 5; King County; Washington,1246,1158,88,207738,0,0,25,24,88,2434,24,0,3361,2561,53,33,500,0.07062600321027288,0.5568181818181818,0.23802439750074378,4.813755788541336e-06,0.05399878481196325,0.6594938749194068,0.20776123881135353,0.02268817904494984,0.23598551939691836
Census Tract 6.01; King County; Washington,1754,763,991,94250,127,132,38,178,991,3225,111,0,4397,2620,53,33,601,0.564994298745724,0.479313824419778,0.40413918580850583,1.0610079575596817e-05,0.5572117108701767,0.5676979338872548,0.4007507851903676,0.1842912645110651,0.42748792361471605
Census Tract 6.02; King County; Washington,1502,937,565,106983,27,42,91,112,565,2756,56,0,3663,1908,53,33,602,0.37616511318242346,0.4814159292035398,0.47911547911547914,9.347279474309003e-06,0.3650042253768359,0.5701876608297245,0.4878570626139326,0.14908405383888457,0.3930332506648444
Census Tract 7; King County; Washington,2544,1140,1404,107773,196,82,120,418,1404,4118,82,0,5217,3103,53,33,700,0.5518867924528302,0.5811965811965812,0.40521372436266057,9.278761842019801e-06,0.5438697011690297,0.6883675819846033,0.4019991671691525,0.14717376359397183,0.44535255347918934
Census Tract 8; King County; Washington,1125,924,201,140042,46,11,7,55,201,1971,7,0,2595,2020,53,33,800,0.17866666666666667,0.5920398009950248,0.22157996146435455,7.14071492837863e-06,0.16397237915881982,0.7012102607529727,0.18865635186268698,0.08756443347212248,0.28535085631165047
Census Tract 9; King County; Washington,884,722,162,134211,7,16,0,25,162,1676,4,0,2065,1297,53,33,900,0.1832579185520362,0.2962962962962963,0.37191283292978206,7.4509540946718225e-06,0.168645772085453,0.3509324927764644,0.3633107156645148,0.09621398590350656,0.2447757416074847
Census Tract 10; King County; Washington,761,522,239,146467,11,14,22,81,239,1417,11,0,2009,1347,53,33,1000,0.3140604467805519,0.5355648535564853,0.3295171727227476,6.827476496412161e-06,0.30178845854027925,0.6343214932193834,0.31405610495137526,0.07883126069709637,0.33224932935203355
Census Tract 11; King County; Washington,1091,759,332,143155,14,12,0,165,332,1976,0,0,2550,1526,53,33,1100,0.304307974335472,0.5753012048192772,0.40156862745098043,6.985435367259264e-06,0.2918615068329993,0.6813851149277963,0.3977643509516501,0.08323519702698917,0.3635615424348587
Census Tract 12.01; King County; Washington,2291,450,1841,49098,204,84,73,670,1841,3224,12,0,4053,2476,53,33,1201,0.8035792230467045,0.5600217273221075,0.38909449790278805,2.0367428408489144e-05,0.8000651036850165,0.6632881451261841,0.3832721035876253,0.4563288068039911,0.5757385398007043
Census Tract 12.02; King County; Washington,1788,465,1323,88979,97,104,129,360,1323,2965,16,0,3968,1723,53,33,1202,0.7399328859060402,0.5215419501133787,0.5657762096774194,1.123860686229335e-05,0.735280084429783,0.6177128061626542,0.5885381353251532,0.20181477640607667,0.5358364505809167
Census Tract 13; King County; Washington,2464,1002,1462,93355,150,73,91,219,1462,4263,56,0,5207,2745,53,33,1300,0.5933441558441559,0.3645690834473324,0.472825043211062,1.0711799046649884e-05,0.5860687688018197,0.4317945881964859,0.4805489331927846,0.18712723106125456,0.4213848803130862
Census Tract 14; King County; Washington,2209,1500,709,127672,13,52,89,246,709,3967,35,0,5145,3801,53,33,1400,0.32095971027614306,0.5641748942172073,0.2612244897959184,7.832570963092925e-06,0.3088111551869215,0.6682071442147066,0.2347147408662202,0.10685356810567599,0.32964665209338107
Census Tract 15; King County; Washington,1100,936,164,194286,6,0,0,24,164,2137,0,0,2645,2245,53,33,1500,0.14909090909090908,0.18292682926829268,0.15122873345935728,5.1470512543363905e-06,0.13386748844375962,0.21665801764400622,0.10692340250758975,0.0319805473844536,0.1223573639949523
Census Tract 16; King County; Washington,1964,1540,424,229808,56,0,29,53,424,3508,12,0,4933,3703,53,33,1600,0.2158859470468432,0.32547169811320753,0.24934117170079062,4.351458608925712e-06,0.20185754120304847,0.38548775592131673,0.22090888894888627,0.009799207798207327,0.2045133484678647
Census Tract 17.01; King County; Washington,2113,783,1330,130035,163,18,78,213,1330,3664,95,0,4217,2558,53,33,1701,0.6294368196876479,0.3548872180451128,0.393407635760019,7.690237243818972e-06,0.6228071582696303,0.42032741428038184,0.38828303926058283,0.10288526525622052,0.3835757192667038
Census Tract 17.02; King County; Washington,2347,1174,1173,124099,119,125,90,114,1173,4557,128,0,5847,3700,53,33,1702,0.4997869620792501,0.38192668371696503,0.3671968530870532,8.058082659811924e-06,0.4908377646023252,0.4523528807144196,0.35783176451361176,0.11314089561485956,0.353540826361304
Census Tract 18; King County; Washington,2309,853,1456,115168,141,109,79,241,1456,3698,0,0,4459,2725,53,33,1800,0.6305760069294066,0.3914835164835165,0.38887642969275626,8.682967490969713e-06,0.6239667264507426,0.4636719663315408,0.3830187553736436,0.1305628548576455,0.40030507575339314
Census Tract 19; King County; Washington,2286,1247,1039,139697,61,81,100,219,1039,4127,8,0,5036,3288,53,33,1900,0.4545056867891514,0.4436958614051973,0.3471008737092931,7.15834985719092e-06,0.44474637233434333,0.5255121195366521,0.3344845719868961,0.08805610008923,0.3481997909867804
